wave,40_30_30
1.608,0.067366145
1.609,0.067397676
1.61,0.067429191
1.611,0.067442242
1.612,0.067455284
1.613,0.067468317
1.614,0.067481342
1.615,0.067494359
1.616,0.067507367
1.617,0.067520366
1.618,0.067533357
1.619,0.06754634
1.62,0.067559314
1.621,0.067572279
1.622,0.067585237
1.623,0.067598185
1.624,0.067611126
1.625,0.067624058
1.626,0.067636981
1.627,0.067649897
1.628,0.067662804
1.629,0.067675702
1.63,0.067688593
1.631,0.067701475
1.632,0.067714348
1.633,0.067727214
1.634,0.067740071
1.635,0.06775292
1.636,0.06776576
1.637,0.067778593
1.638,0.067791417
1.639,0.067804233
1.64,0.067817041
1.641,0.067829841
1.642,0.067842632
1.643,0.067855416
1.644,0.067868191
1.645,0.067880958
1.646,0.067893717
1.647,0.067906468
1.648,0.067919211
1.649,0.067931946
1.65,0.067944673
1.651,0.067960713
1.652,0.067976741
1.653,0.067992759
1.654,0.068008767
1.655,0.068024764
1.656,0.06804075
1.657,0.068056726
1.658,0.068072692
1.659,0.068088646
1.66,0.06810504
1.661,0.068121473
1.662,0.068137896
1.663,0.068154309
1.664,0.068170711
1.665,0.068187102
1.666,0.068203483
1.667,0.068219854
1.668,0.068236215
1.669,0.068252565
1.67,0.068268904
1.671,0.068285234
1.672,0.068301553
1.673,0.068317862
1.674,0.06833416
1.675,0.068350448
1.676,0.068366726
1.677,0.068382994
1.678,0.068399252
1.679,0.068415499
1.68,0.068431736
1.681,0.068445169
1.682,0.068458592
1.683,0.068472006
1.684,0.068485411
1.685,0.068498807
1.686,0.068512194
1.687,0.068525571
1.688,0.06853894
1.689,0.068552299
1.69,0.06856565
1.691,0.068578991
1.692,0.068592324
1.693,0.068605647
1.694,0.068618961
1.695,0.068632267
1.696,0.068645563
1.697,0.068658851
1.698,0.068672129
1.699,0.068685399
1.7,0.068698659
1.701,0.068711048
1.702,0.068723429
1.703,0.068735801
1.704,0.068748166
1.705,0.068760522
1.706,0.068772871
1.707,0.068785212
1.708,0.068797544
1.709,0.068809869
1.71,0.068822186
1.711,0.068834496
1.712,0.068846797
1.713,0.06885909
1.714,0.068871376
1.715,0.068883653
1.716,0.068895923
1.717,0.068908185
1.718,0.06892044
1.719,0.068932686
1.72,0.068944925
1.721,0.068957156
1.722,0.068969379
1.723,0.068981594
1.724,0.068993802
1.725,0.069006002
1.726,0.069018194
1.727,0.069030379
1.728,0.069042555
1.729,0.069054725
1.73,0.069066886
1.731,0.069074954
1.732,0.069083018
1.733,0.069091078
1.734,0.069099134
1.735,0.069107185
1.736,0.069115233
1.737,0.069123276
1.738,0.069131315
1.739,0.06913935
1.74,0.06914738
